GISJOIN,YEAR,TRACTA,COUNTY,STATE,Total Pop,% White,% Black,% Other races,Total Units,% Occupied,% Vacant,% Owner Occupied,% Renter
G1700310NFT0045,1960,45,Cook,Illinois,5092.0,0.9899842890809112,0.0019638648860958365,0.002945797329143755,1352.0,0.9644970414201184,0.03550295857988166,0.9279141104294478,0.07208588957055215
G1700310NFT0046,1960,46,Cook,Illinois,5652.0,0.9941613588110403,0.008492569002123142,0.0010615711252653928,1420.0,0.9436619718309859,0.056338028169014086,0.9380597014925374,0.06194029850746269
G1700310NFT0047,1960,47,Cook,Illinois,6297.0,1.0,0.0,0.0007940289026520565,1608.0,0.9664179104477612,0.033582089552238806,0.9414414414414415,0.05855855855855856
G1700310NFT0048,1960,48,Cook,Illinois,5948.0,0.9986550100874243,0.0011768661735036988,0.0010087424344317419,1601.0,0.9556527170518426,0.0443472829481574,0.8915032679738563,0.1084967320261438
G1700310NFT0049,1960,49,Cook,Illinois,8761.0,0.9877867823307842,0.0097020888026481,0.002396986645360119,2236.0,0.9682468694096601,0.03175313059033989,0.7505773672055427,0.24942263279445728
G1700310NFT0050,1960,50,Cook,Illinois,3522.0,0.9988642816581488,0.00028392958546280523,0.0,969.0,0.9762641898864809,0.023735810113519093,0.9133192389006343,0.08668076109936575
G1700310NFT0051,1960,51,Cook,Illinois,4925.0,0.9987817258883249,0.0014213197969543147,0.0002030456852791878,1508.0,0.9648541114058355,0.035145888594164454,0.920274914089347,0.07972508591065292
G1700310NFT0052,1960,52,Cook,Illinois,3357.0,0.9979148048853143,0.0011915400655347036,0.0002978850163836759,1017.0,0.9351032448377581,0.06489675516224189,0.8590956887486856,0.14090431125131442
G1700310NIT0039,1960,39,Cook,Illinois,8050.0,0.9965217391304347,0.003975155279503106,0.0011180124223602484,2217.0,0.9693279206134416,0.03067207938655841,0.9599813866914844,0.04001861330851559
G1700310NIT0040,1960,40,Cook,Illinois,3694.0,0.9875473741201949,0.0032485110990795887,0.002165674066053059,1088.0,0.9659926470588235,0.03400735294117647,0.9914367269267365,0.008563273073263558
G1700310NIT0041,1960,41,Cook,Illinois,2722.0,0.9981631153563556,0.0,0.0,688.0,0.9680232558139534,0.03197674418604651,0.8003003003003003,0.1996996996996997
G1700310NIT0042,1960,42,Cook,Illinois,10497.0,0.9941888158521482,0.0001905306277984186,0.005811184147851767,2969.0,0.9730549006399462,0.02694509936005389,0.9127725856697819,0.08722741433021806
G1700310NIT0043,1960,43,Cook,Illinois,9270.0,0.992017259978425,0.001941747572815534,0.006040992448759439,2544.0,0.9520440251572327,0.0479559748427673,0.976878612716763,0.023121387283236993
G1700310NIT0044,1960,44,Cook,Illinois,2259.0,1.0,0.0017706949977866313,0.0008853474988933156,647.0,0.9443585780525502,0.05564142194744977,0.9656301145662848,0.03436988543371522
G1700310NPT0084,1960,84,Cook,Illinois,4707.0,0.999150201827066,0.0,0.0004248990864669641,1291.0,0.9783113865220759,0.021688613477924088,0.9382422802850356,0.06413301662707839
G1700310NPT0085,1960,85,Cook,Illinois,8187.0,0.9986564064981067,0.00012214486380847684,0.0008550140466593379,2135.0,0.9742388758782201,0.02576112412177986,0.9615384615384616,0.038461538461538464
G1700310NPT0086,1960,86,Cook,Illinois,8769.0,1.0,0.0,0.0015965332421028623,2450.0,0.9661224489795919,0.03387755102040816,0.9188846641318125,0.08111533586818757
G1700310NPT0087,1960,87,Cook,Illinois,3793.0,0.9965726337991037,0.0,0.002372791985235961,1140.0,0.956140350877193,0.043859649122807015,0.8614678899082568,0.13853211009174313
G1700310NPT0088,1960,88,Cook,Illinois,5177.0,0.839675487734209,0.15819972957311185,0.002511106818620823,269.0,0.895910780669145,0.10408921933085502,0.008298755186721992,0.991701244813278
