NHGISCODE|GJOIN1970|GJOIN1980|GJOIN1990|GJOIN2000|GJOIN2012|STATE|COUNTY|TRACTA|Total_1970|Total_1980|Total_1990|Total_2000|Total_2010|High_Attainment_1970|High_Attainment_1980|High_Attainment_1990|High_Attainment_2000|High_Attainment_2010
G1700030957900|||G17000309579|G1700030957900|G1700030957900|Illinois|Alexander County|957900|0.0|0.0|1506.0|1156.0|778.0|||0.10624169986719788|0.04844290657439446|0.09511568123393316
G1700050951200|||G17000509512|G1700050951200|G1700050951200|Illinois|Bond County|951200|0.0|0.0|2199.0|2010.0|2212.0|||0.110050022737608|0.18407960199004975|0.20162748643761302
G1700050951300|||G17000509513|G1700050951300|G1700050951300|Illinois|Bond County|951300|0.0|0.0|2795.0|4706.0|3734.0|||0.22504472271914133|0.18827029324266895|0.3160149973219068
G1700050951400|||G17000509514|G1700050951400|G1700050951400|Illinois|Bond County|951400|0.0|0.0|2078.0|2153.0|2211.0|||0.09576515880654475|0.12540640966093822|0.12663952962460426
G1700050951500|||G17000509515|G1700050951500|G1700050951500|Illinois|Bond County|951500|0.0|0.0|2597.0|2862.0|3453.0|||0.061224489795918366|0.07966457023060797|0.1280046336518969
G1700070010100|G17000700101|G17000700101|G17000700101|G1700070010100|G1700070010100|Illinois|Boone County|10100|3375.0|3621.0|3782.0|4477.0|4876.0|0.10192592592592592|0.08505937586302126|0.07667900581702802|0.07058297967388877|0.11505332239540607
G1700070010200|G17000700102|G17000700102|G17000700102|G1700070010200|G1700070010200|Illinois|Boone County|10200|2792.0|3023.0|3234.0|3775.0|3556.0|0.09240687679083094|0.0926232219649355|0.10451453308596166|0.07947019867549669|0.12570303712035996
G1700070010300|G17000700103|G17000700103|G17000700103|G1700070010300|G1700070010300|Illinois|Boone County|10300|1893.0|2507.0|2973.0|3627.0|4177.0|0.06391970417326995|0.07538891104906262|0.05852674066599395|0.09539564378274056|0.09552310270529088
G1700070010400|G17000700104|G17000700104|G17000700104|G1700070010400|G1700070010400|Illinois|Boone County|10400|1605.0|2069.0|2283.0|3071.0|4603.0|0.02866043613707165|0.08071532141130981|0.09373631187034603|0.11494627157277759|0.14360199869650228
G1700070010500|G17000700105|G17000700105|G17000700105|G1700070010500|G1700070010500|Illinois|Boone County|10500|1077.0|1835.0|3046.0|4556.0|6878.0|0.08263695450324977|0.16348773841961853|0.26887721602101117|0.3439420544337138|0.3886304158185519
G1700070010600|G17000700106|G17000700106|G17000700106|G1700070010600||Illinois|Boone County|10600|2367.0|3190.0|3954.0|6555.0|0.0|0.03929024081115336|0.10094043887147336|0.12240768841679311|0.13562166285278413|
G1700070010601|||||G1700070010601|Illinois|Boone County|10601|0.0|0.0|0.0|0.0|2495.0|||||0.1807615230460922
G1700070010602|||||G1700070010602|Illinois|Boone County|10602|0.0|0.0|0.0|0.0|7532.0|||||0.21136484333510355
G1700090970400|||G17000909704|G1700090970400|G1700090970400|Illinois|Brown County|970400|0.0|0.0|1754.0|1851.0|2058.0|||0.1088939566704675|0.12479740680713128|0.15403304178814384
G1700090970500|||G17000909705|G1700090970500|G1700090970500|Illinois|Brown County|970500|0.0|0.0|2225.0|2993.0|3033.0|||0.08898876404494382|0.07216839291680588|0.10814375206066601
G1700110964700|||G17001109647|G1700110964700|G1700110964700|Illinois|Bureau County|964700|0.0|0.0|2058.0|2171.0|1934.0|||0.09037900874635568|0.10225702441271303|0.1344364012409514
G1700110964800|||G17001109648|G1700110964800|G1700110964800|Illinois|Bureau County|964800|0.0|0.0|2512.0|2418.0|2280.0|||0.10509554140127389|0.12324234904880066|0.16447368421052633
G1700110964900|||G17001109649|G1700110964900|G1700110964900|Illinois|Bureau County|964900|0.0|0.0|1854.0|1953.0|1721.0|||0.10409924487594391|0.12852022529441884|0.1388727484020918
G1700110965000|||G17001109650|G1700110965000|G1700110965000|Illinois|Bureau County|965000|0.0|0.0|2601.0|2651.0|2568.0|||0.0718954248366013|0.08638249717087891|0.09813084112149532
G1700110965100|||G17001109651|G1700110965100|G1700110965100|Illinois|Bureau County|965100|0.0|0.0|2573.0|2860.0|3041.0|||0.11348620287602021|0.15349650349650348|0.174613613942782
G1700110965200|||G17001109652|G1700110965200|G1700110965200|Illinois|Bureau County|965200|0.0|0.0|2424.0|2423.0|2437.0|||0.091996699669967|0.17292612463887744|0.1555190808370948
G1700110965300|||G17001109653|G1700110965300|G1700110965300|Illinois|Bureau County|965300|0.0|0.0|2267.0|2298.0|2658.0|||0.18703131892368768|0.17406440382941687|0.172686230248307
G1700110965400|||G17001109654|G1700110965400|G1700110965400|Illinois|Bureau County|965400|0.0|0.0|2389.0|2581.0|2817.0|||0.24696525742988698|0.3161565284773344|0.2747603833865815
G1700110965500|||G17001109655|G1700110965500|G1700110965500|Illinois|Bureau County|965500|0.0|0.0|2552.0|2528.0|2619.0|||0.15086206896551724|0.1629746835443038|0.1718213058419244
G1700110965600|||G17001109656|G1700110965600|G1700110965600|Illinois|Bureau County|965600|0.0|0.0|2214.0|2202.0|2243.0|||0.07904245709123758|0.1298819255222525|0.16495764600980828
G1700130951200|||G17001309512|G1700130951200|G1700130951200|Illinois|Calhoun County|951200|0.0|0.0|2057.0|1960.0|1906.0|||0.0743801652892562|0.10459183673469388|0.1453305351521511
G1700130951300|||G17001309513|G1700130951300|G1700130951300|Illinois|Calhoun County|951300|0.0|0.0|1526.0|1568.0|1690.0|||0.063564875491481|0.08099489795918367|0.14615384615384616
G1700150960100|||G17001509601|G1700150960100|G1700150960100|Illinois|Carroll County|960100|0.0|0.0|2250.0|2629.0|2759.0|||0.12177777777777778|0.1704069988588817|0.1496919173613628
G1700150960200|||G17001509602|G1700150960200|G1700150960200|Illinois|Carroll County|960200|0.0|0.0|1682.0|1618.0|1542.0|||0.10166468489892984|0.12299134734239803|0.1582360570687419
